SheepID,Sex,Year_,Month_,Day_
21F,F,2009,3,25
21F,F,2009,3,26
21F,F,2009,3,26
21F,F,2009,3,27
21F,F,2011,1,10
21F,F,2011,1,10
21F,F,2011,1,11
21F,F,2011,1,11
21F,F,2011,1,12
21F,F,2011,1,12
21F,F,2011,1,12
21F,F,2011,1,13
21F,F,2011,1,13
21F,F,2011,1,14
21F,F,2011,1,14
21F,F,2011,1,14
21F,F,2011,1,15
21F,F,2011,1,15
21F,F,2011,1,16
21F,F,2011,1,16
21F,F,2011,1,17
21F,F,2011,1,17
21F,F,2011,1,17
21F,F,2011,1,18
21F,F,2011,1,19
21F,F,2011,1,19
21F,F,2011,1,19
21F,F,2011,1,20
21F,F,2011,1,21
21F,F,2011,1,22
21F,F,2011,1,22
21F,F,2011,1,23
21F,F,2011,1,24
21F,F,2011,1,24
21F,F,2011,1,24
21F,F,2011,1,25
21F,F,2011,1,25
21F,F,2011,1,26
21F,F,2011,1,26
21F,F,2011,1,27
21F,F,2011,1,27
21F,F,2011,1,27
21F,F,2011,1,28
21F,F,2011,1,28
21F,F,2011,1,29
21F,F,2011,1,29
21F,F,2011,1,30
21F,F,2011,1,31
21F,F,2011,1,31
21F,F,2011,2,1
21F,F,2011,2,1
21F,F,2011,2,1
21F,F,2011,2,2
21F,F,2011,2,2
21F,F,2011,2,3
21F,F,2011,2,3
21F,F,2011,2,3
21F,F,2011,2,4
21F,F,2011,2,5
21F,F,2011,2,5
21F,F,2011,2,6
21F,F,2011,2,6
21F,F,2011,2,6
21F,F,2011,2,7
21F,F,2011,2,7
21F,F,2011,2,8
21F,F,2011,2,8
21F,F,2011,2,9
21F,F,2011,2,9
21F,F,2011,2,10
21F,F,2011,2,10
21F,F,2011,2,11
21F,F,2011,2,11
21F,F,2011,2,11
21F,F,2011,2,12
21F,F,2011,2,12
21F,F,2011,2,13
21F,F,2011,2,13
21F,F,2011,2,13
21F,F,2011,2,14
21F,F,2011,2,14
21F,F,2011,2,15
21F,F,2011,2,15
21F,F,2011,2,16
21F,F,2011,2,16
21F,F,2011,2,16
21F,F,2011,2,17
21F,F,2011,2,17
21F,F,2011,2,18
21F,F,2011,2,18
21F,F,2011,2,19
21F,F,2011,2,19
21F,F,2011,2,20
21F,F,2011,2,20
21F,F,2011,2,21
21F,F,2011,2,21
21F,F,2011,2,21
21F,F,2011,2,22
21F,F,2011,2,23
21F,F,2011,2,25
21F,F,2011,2,26
21F,F,2011,2,26
21F,F,2011,2,27
21F,F,2011,2,27
21F,F,2011,2,28
21F,F,2011,2,28
21F,F,2011,2,28
21F,F,2011,3,1
21F,F,2011,3,1
21F,F,2011,3,2
21F,F,2011,3,2
21F,F,2011,3,3
21F,F,2011,3,3
21F,F,2011,3,4
21F,F,2011,3,4
21F,F,2011,3,5
21F,F,2011,3,5
21F,F,2011,3,6
21F,F,2011,3,7
21F,F,2011,3,7
21F,F,2011,3,8
21F,F,2011,3,8
21F,F,2011,3,9
21F,F,2011,3,10
21F,F,2011,3,10
21F,F,2011,3,10
21F,F,2011,3,11
21F,F,2011,3,11
21F,F,2011,3,12
21F,F,2011,3,12
21F,F,2011,3,13
21F,F,2011,3,13
21F,F,2011,3,13
21F,F,2011,3,14
21F,F,2011,3,14
21F,F,2011,3,15
21F,F,2011,3,15
21F,F,2011,3,15
21F,F,2011,3,16
21F,F,2009,12,2
21F,F,2009,12,3
21F,F,2009,12,3
21F,F,2009,12,3
21F,F,2009,12,4
21F,F,2009,12,4
21F,F,2009,12,5
21F,F,2009,12,5
21F,F,2009,12,5
21F,F,2009,12,6
21F,F,2009,12,6
21F,F,2009,12,7
21F,F,2009,12,7
21F,F,2009,12,8
21F,F,2009,12,8
21F,F,2009,12,8
21F,F,2009,12,9
21F,F,2009,12,9
21F,F,2009,12,10
21F,F,2009,12,10
21F,F,2009,12,10
21F,F,2009,12,11
21F,F,2009,12,11
21F,F,2009,12,12
21F,F,2009,12,12
21F,F,2009,12,13
21F,F,2009,12,13
21F,F,2009,12,13
21F,F,2009,12,14
21F,F,2009,12,14
21F,F,2009,12,15
21F,F,2009,12,15
21F,F,2009,12,15
21F,F,2009,12,16
21F,F,2009,12,16
21F,F,2009,12,17
21F,F,2009,12,17
21F,F,2009,12,18
21F,F,2009,12,18
21F,F,2009,12,18
21F,F,2009,12,19
21F,F,2009,12,19
21F,F,2009,12,20
21F,F,2009,12,20
21F,F,2009,12,20
21F,F,2009,12,21
21F,F,2009,12,21
21F,F,2009,12,22
21F,F,2009,12,22
21F,F,2009,12,23
21F,F,2009,12,23
21F,F,2009,12,24
21F,F,2009,12,24
21F,F,2009,12,25
21F,F,2009,12,25
21F,F,2009,12,25
21F,F,2009,12,26
21F,F,2009,12,26
21F,F,2009,12,27
21F,F,2009,12,27
21F,F,2009,12,28
21F,F,2009,12,28
21F,F,2009,12,28
21F,F,2009,12,29
21F,F,2009,12,29
21F,F,2009,12,30
21F,F,2009,12,30
21F,F,2009,12,30
21F,F,2009,12,31
21F,F,2009,12,31
21F,F,2010,1,1
21F,F,2010,1,1
21F,F,2010,1,2
21F,F,2010,1,2
21F,F,2010,1,2
21F,F,2010,1,3
21F,F,2010,1,3
21F,F,2010,1,4
21F,F,2010,1,4
21F,F,2010,1,4
21F,F,2010,1,5
21F,F,2010,1,5
21F,F,2010,1,6
21F,F,2010,1,6
21F,F,2010,1,7
21F,F,2010,1,7
21F,F,2010,1,7
21F,F,2010,1,8
21F,F,2010,1,8
21F,F,2010,1,9
21F,F,2010,1,9
